M1,M2,M3,Inclination,Orientation
0,-0.00111962828662104,0,-0.108019160158219,0.106374713990414
-0.563171675989989,0.545257577567428,-0.497113652915971,-0.102759407598918,0.0249809598677039
-2.22805524834728,2.22469771566781,-2.12057409555869,-0.160364469729812,-0.469487919865943
-4.99129318439241,4.97673432681814,-4.82894559314209,-0.209988401661872,-1.30611917344259
-8.91447844710194,8.90215985450663,-8.7084428239729,-0.260904926379747,-2.53055862952691
-13.8978934618113,13.8800171786032,-13.6314680870755,-0.733090331545166,-4.12940881599538
-19.9674072729707,19.9506196095733,-19.6550306830653,-1.78476353183251,-5.97840091666206
-27.1375157127968,27.2248344807747,-26.7859488097045,-3.30668267514876,-8.14847856572005
-35.3712057077243,35.5122679168855,-35.0050856766357,-5.13359871196905,-10.6996304443196
-44.8264417218707,44.8958842066406,-43.90163054475,-7.5675921806202,-13.3110574829668
-55.2848695395117,55.4024404790725,-51.7569392117731,-10.2411278442597,-16.1085812134726
-66.8315160974446,67.139767391225,-58.5505570844188,-13.1680827406855,-18.9754901329687
-79.46867322685,79.8290636799873,-64.2497682725851,-16.0527533518306,-21.849790208022
-93.0798586079779,93.4683239930766,-68.8425979583538,-19.2234444943051,-24.4568627674262
-106.999295282886,107.217592202831,-72.3806123432866,-22.2581154562155,-26.1912060132872
-120.758303775158,120.965714496995,-74.756095361899,-25.2363500753055,-27.7340667640155
-133.960970248357,134.714409748954,-76.0246239203187,-28.1297296449367,-29.032389127782
-146.044077189871,148.634992339453,-76.2555259117564,-30.6753811287029,-29.8724598470028
-157.154301795253,162.381395760231,-75.5421934568185,-32.9772963664205,-30.5452841858249
-167.063606862041,176.132955801166,-75.1514362405393,-34.7636068842999,-31.0168284512176
-175.845330988011,189.880505137535,-75.08898384087,-36.3451422861995,-31.6415243352487
-183.520100653788,203.421216709862,-75.0855460940992,-37.6121238585723,-32.0128009864935
-190.049527687099,216.11108595642,-74.7898998718118,-38.7504764059382,-32.4873819282003
-195.517836883828,227.56623115447,-74.8322987486514,-39.5627586720951,-32.6744526483105
-199.898099227603,237.930464710592,-75.4883354240762,-40.1727295407914,-33.1224483483233
-203.135883727887,247.215818738482,-75.6487636067128,-40.6445602850817,-33.2879185595571
-205.265567852388,255.491048173556,-75.6562120580495,-40.9728651016916,-33.4331060648433
-206.310069912912,262.554471871929,-75.6619416360009,-41.099202295518,-33.4631863490876
-206.225272159232,268.525265054987,-75.9507123647468,-41.0426513611386,-33.5070176204152
-205.808731842172,273.387957862263,-75.8447151726476,-40.9752142286517,-33.4775102939659
-205.505064210753,277.191251706341,-75.1617494808517,-40.99423642745,-33.3623457771446
-204.959608389788,279.844619255592,-74.9789759442049,-40.8318601883099,-33.2005424957997
-205.158997702494,281.394470091421,-75.1772193413202,-40.834553089947,-33.322410618824
-205.434590401952,281.85340928532,-75.6699630451327,-40.7677462110348,-33.3805085392503
-206.129588207445,281.28159740578,-75.4212993620459,-40.9392324791174,-33.4634155322057
-206.383981468484,280.654208620112,-74.8976159372963,-40.9752142286517,-33.3512303959191
-205.890091849081,280.961313998302,-74.7016643713616,-40.9124753500848,-33.3036176031437
-205.651741406306,281.077624430713,-74.6478063386193,-40.8398815974418,-33.2579528668718
-205.616790980803,280.899434556428,-75.1428418736123,-40.7747362961354,-33.3468759166761
-205.151549251157,280.178653650153,-75.382338231977,-40.7394420959553,-33.3846911311547
-204.575726667051,279.955773067847,-75.6161050123904,-40.622043043733,-33.3386253244262
-204.685734563716,280.725828344503,-75.723821077875,-40.6359659181547,-33.3842900606981
-205.244368413968,281.328579944981,-75.741582769524,-40.6932044018883,-33.4466851645879
-206.071719470137,281.193934863125,-75.3554092156059,-40.8839420518873,-33.4126514715571
-206.030466508888,280.422733670879,-74.7967753653533,-40.9266274076246,-33.3518033537142
-205.068470370863,280.139119562289,-74.9411607297263,-40.7147476149852,-33.311581716496
-204.53103595903,280.177507734563,-75.2161804713891,-40.6199803956705,-33.3004663352705
-204.764802739444,280.372313384907,-75.5702683887799,-40.5943118864487,-33.4250846557114
-205.694140283146,280.920633994847,-75.5611010640578,-40.7515315054326,-33.42760567001
